time,open,high,low,close,volume
1758042000000,4463.53,4510.51,4462.63,4486.62,22597.2545
1758045600000,4486.62,4496.45,4466.37,4474.63,9002.3827
1758049200000,4474.63,4494.79,4471.24,4491.21,6015.0466
1758052800000,4491.22,4498.65,4483.61,4498.23,5831.8921
1758056400000,4498.23,4510.0,4490.4,4507.65,5903.943
1758060000000,4507.66,4525.4,4500.86,4520.5,9336.2084
1758063600000,4520.51,4523.57,4495.18,4501.29,8632.4184
1758067200000,4501.3,4516.66,4492.99,4513.44,9300.9487
1758070800000,4513.44,4519.98,4502.52,4513.8,6305.9732
1758074400000,4513.8,4553.02,4507.44,4530.85,16855.8044
1758078000000,4530.84,4530.98,4495.87,4497.79,12511.9099
1758081600000,4497.79,4505.09,4464.0,4477.44,12188.7633
1758085200000,4477.44,4518.53,4476.97,4514.91,14166.2988
1758088800000,4514.91,4557.67,4505.34,4545.99,28579.0274
1758092400000,4545.99,4555.61,4537.51,4544.07,14044.5432
1758096000000,4544.07,4545.81,4497.58,4511.08,15212.7683
1758099600000,4511.08,4511.52,4494.61,4494.85,6105.5783
1758103200000,4494.84,4501.01,4479.0,4484.02,8109.5018
1758106800000,4484.02,4497.77,4479.57,4491.64,6157.2763
1758110400000,4491.64,4513.46,4483.09,4502.06,8264.172
1758114000000,4502.06,4512.28,4483.65,4495.95,12197.9329
1758117600000,4495.96,4503.79,4467.36,4489.93,12337.6231
1758121200000,4489.93,4498.97,4482.0,4489.54,10743.6565
1758124800000,4489.53,4492.0,4470.3,4487.13,15290.3919
1758128400000,4487.14,4533.31,4433.0,4433.77,33507.481
1758132000000,4433.77,4524.08,4412.0,4456.17,112560.6854
1758135600000,4456.16,4526.66,4453.82,4517.62,40071.6
1758139200000,4517.62,4541.44,4495.45,4501.52,17599.8
1758142800000,4501.52,4538.67,4486.74,4529.18,10815.1208
1758146400000,4529.18,4601.0,4527.45,4587.12,28000.8013
1758150000000,4587.12,4616.77,4582.01,4590.53,26053.7976
1758153600000,4590.54,4610.24,4582.99,4584.79,17983.3278
1758157200000,4584.79,4633.21,4580.27,4618.95,19435.0293
1758160800000,4618.95,4620.03,4604.65,4613.52,7885.8075
1758164400000,4613.52,4644.47,4609.24,4614.42,18843.5579
1758168000000,4614.42,4619.99,4598.71,4611.42,11593.5616
1758171600000,4611.43,4611.43,4585.0,4589.51,10323.6644
1758175200000,4589.53,4593.87,4553.7,4571.37,17144.4067
1758178800000,4571.37,4583.85,4571.32,4574.75,9179.8454
1758182400000,4574.75,4607.76,4571.66,4602.44,11556.403
1758186000000,4602.44,4603.82,4589.98,4597.0,8289.47
1758189600000,4597.0,4600.78,4570.59,4574.28,9734.0975
1758193200000,4574.28,4588.87,4568.59,4576.12,6952.7701
1758196800000,4576.12,4588.06,4568.78,4571.04,7123.7844
1758200400000,4571.04,4605.0,4558.15,4588.5,20352.8811
1758204000000,4588.5,4625.0,4587.12,4596.45,21947.2669
1758207600000,4596.46,4608.49,4587.51,4599.34,12642.7767
1758211200000,4599.35,4636.22,4590.23,4621.3,17359.3337
1758214800000,4621.29,4630.3,4596.41,4609.37,17783.3605
