[INFO] 2026-03-29 20:52:42 | BUY at 3.763
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7604
[INFO] 2026-03-29 20:52:42 | BUY at 3.7101
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7169
[INFO] 2026-03-29 20:52:42 | BUY at 3.7263
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7093
[INFO] 2026-03-29 20:52:42 | BUY at 3.7144
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7413
[INFO] 2026-03-29 20:52:42 | BUY at 3.74
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.73
[INFO] 2026-03-29 20:52:42 | BUY at 3.7107
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6966
[INFO] 2026-03-29 20:52:42 | BUY at 3.8074
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8
[INFO] 2026-03-29 20:52:42 | BUY at 3.7025
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6832
[INFO] 2026-03-29 20:52:42 | BUY at 3.6651
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6796
[INFO] 2026-03-29 20:52:42 | BUY at 3.6788
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6842
[INFO] 2026-03-29 20:52:42 | BUY at 3.6788
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6726
[INFO] 2026-03-29 20:52:42 | BUY at 3.6697
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6922
[INFO] 2026-03-29 20:52:42 | BUY at 3.7755
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.78
[INFO] 2026-03-29 20:52:42 | BUY at 3.7183
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7161
[INFO] 2026-03-29 20:52:42 | BUY at 3.7335
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7298
[INFO] 2026-03-29 20:52:42 | BUY at 3.7264
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7207
[INFO] 2026-03-29 20:52:42 | BUY at 3.7142
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7187
[INFO] 2026-03-29 20:52:42 | BUY at 3.8131
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8
[INFO] 2026-03-29 20:52:42 | BUY at 3.686
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.69
[INFO] 2026-03-29 20:52:42 | BUY at 3.7092
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7124
[INFO] 2026-03-29 20:52:42 | BUY at 3.7429
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7558
[INFO] 2026-03-29 20:52:42 | BUY at 3.7559
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.74
[INFO] 2026-03-29 20:52:42 | BUY at 3.7558
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8
[INFO] 2026-03-29 20:52:42 | BUY at 3.8118
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8
[INFO] 2026-03-29 20:52:42 | BUY at 3.7742
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7798
[INFO] 2026-03-29 20:52:42 | BUY at 3.6892
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7048
[INFO] 2026-03-29 20:52:42 | BUY at 3.7145
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6973
[INFO] 2026-03-29 20:52:42 | BUY at 3.6973
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6845
[INFO] 2026-03-29 20:52:42 | BUY at 3.6571
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6422
[INFO] 2026-03-29 20:52:42 | BUY at 3.6471
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6677
[INFO] 2026-03-29 20:52:42 | BUY at 3.6663
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.65
[INFO] 2026-03-29 20:52:42 | BUY at 3.6551
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6677
[INFO] 2026-03-29 20:52:42 | BUY at 3.6621
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6734
[INFO] 2026-03-29 20:52:42 | BUY at 3.79
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.78
[INFO] 2026-03-29 20:52:42 | BUY at 3.7801
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7594
[INFO] 2026-03-29 20:52:42 | BUY at 3.7277
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6998
[INFO] 2026-03-29 20:52:42 | BUY at 3.6649
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.64
[INFO] 2026-03-29 20:52:42 | BUY at 3.715
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.708
[INFO] 2026-03-29 20:52:42 | BUY at 3.708
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6971
[INFO] 2026-03-29 20:52:42 | BUY at 3.7755
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.7904
[INFO] 2026-03-29 20:52:42 | BUY at 3.9
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9027
[INFO] 2026-03-29 20:52:42 | BUY at 4.0785
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.9533
[INFO] 2026-03-29 20:52:42 | BUY at 3.9533
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.93
[INFO] 2026-03-29 20:52:42 | BUY at 3.85
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8387
[INFO] 2026-03-29 20:52:42 | BUY at 3.8459
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8523
[INFO] 2026-03-29 20:52:42 | BUY at 3.8799
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.871
[INFO] 2026-03-29 20:52:42 | BUY at 3.9
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9119
[INFO] 2026-03-29 20:52:42 | BUY at 3.92
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.95
[INFO] 2026-03-29 20:52:42 | BUY at 3.8381
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8206
[INFO] 2026-03-29 20:52:42 | BUY at 3.9598
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9851
[INFO] 2026-03-29 20:52:42 | BUY at 3.876
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8606
[INFO] 2026-03-29 20:52:42 | BUY at 3.8367
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8245
