timestamp,message
2025-10-01T19:02:57.397891+02:00,Сделка разрешена
2025-10-01T19:02:59.671744+02:00,Сделка разрешена
2025-10-01T19:03:00.227409+02:00,Сделка разрешена
2025-10-01T19:03:00.232030+02:00,Сделка разрешена
2025-10-01T19:09:43.924020+02:00,Сделка разрешена
2025-10-01T19:09:46.003972+02:00,Сделка разрешена
2025-10-01T19:09:46.044933+02:00,Сделка разрешена
2025-10-01T19:09:46.048164+02:00,Сделка разрешена
2025-10-01T19:09:46.842540+02:00,Сделка разрешена
2025-10-01T19:09:46.846896+02:00,Сделка разрешена
2025-10-01T19:13:41.850367+02:00,Сделка разрешена
2025-10-01T19:13:44.006450+02:00,Сделка разрешена
2025-10-01T19:13:44.047988+02:00,Сделка разрешена
2025-10-01T19:13:44.051513+02:00,Сделка разрешена
2025-10-01T19:13:44.877146+02:00,Сделка разрешена
2025-10-01T19:13:44.881537+02:00,Сделка разрешена
2025-10-01T19:16:21.909081+02:00,Сделка разрешена
2025-10-01T19:16:23.993100+02:00,Сделка разрешена
2025-10-01T19:16:24.034439+02:00,Сделка разрешена
2025-10-01T19:16:24.037412+02:00,Сделка разрешена
2025-10-01T19:16:24.556391+02:00,Сделка разрешена
2025-10-01T19:16:24.561571+02:00,Сделка разрешена
2025-10-01T19:35:48.462359+02:00,Сделка разрешена
2025-10-01T19:35:50.927455+02:00,Сделка разрешена
2025-10-01T19:35:51.518362+02:00,Сделка разрешена
2025-10-01T19:35:51.523219+02:00,Сделка разрешена
2025-10-01T19:41:44.729742+02:00,Сделка разрешена
2025-10-01T19:41:47.168223+02:00,Сделка разрешена
2025-10-01T19:41:47.738417+02:00,Сделка разрешена
2025-10-01T19:41:47.743266+02:00,Сделка разрешена
2025-10-01T19:46:47.759649+02:00,Сделка разрешена
2025-10-01T19:46:50.193944+02:00,Сделка разрешена
2025-10-01T19:46:50.772349+02:00,Сделка разрешена
2025-10-01T19:46:50.776661+02:00,Сделка разрешена
